gene,PM,MM,BN,SN,PMN
ENSG00000144848,41.11807,63.61508,67.6134,78.93646,104.95128
ENSG00000144867,17.17596995,1.70602423,1.21875681,2.17370817,0.02110784
ENSG00000144895,32.340673,22.801596,15.807721,13.564238,7.293126
ENSG00000144909,1.066207,5.50753,13.478287,32.046535,43.229529
ENSG00000145050,15.731382,4.289511,4.920366,8.508055,8.049892
ENSG00000145191,25.621692,18.431023,13.609622,8.212012,6.306568
ENSG00000145192,0.0391439462,0.0004422941,0.0004644284,0.0005215053,0.0008007862
ENSG00000145216,25.58802,27.52198,28.468,28.84331,32.60849
ENSG00000145241,32.586638,32.885519,26.152953,16.341061,9.469883
ENSG00000145293,10.8950594,4.9211383,2.3930786,1.7278773,0.3306562
ENSG00000145321,0.006909076,0.009686206,0.009484568,0.012697607,0.016292635
ENSG00000145354,5.74625,2.008979,1.581284,2.272922,1.944627
ENSG00000145425,1137.5819,563.7735,419.9783,325.4549,115.5666
ENSG00000145494,10.133966,9.89387,8.70399,4.982344,4.552322
ENSG00000145569,40.12534,82.68881,55.99529,20.10634,19.25892
ENSG00000145675,24.10068,25.483,32.86394,26.04817,16.5556
ENSG00000145703,29.40396,61.66684,65.91477,61.94648,131.52464
ENSG00000145715,20.42613,21.97554,18.26886,13.62489,10.95183
ENSG00000145725,71.33691,94.17917,108.0818,78.23257,63.37219
ENSG00000145741,204.45039,183.25573,141.25661,83.7403,38.17726
ENSG00000145779,94.38145,169.98649,198.32538,78.87029,35.10735
ENSG00000145781,20.609597,22.412493,18.589953,7.572038,2.641235
ENSG00000145819,10.98057,25.03174,63.71564,268.37274,646.98311
ENSG00000145833,23.13994,23.90309,22.9043,20.1448,20.21818
ENSG00000145882,7.3970284,4.7645392,4.8042122,2.3911103,0.4748902
ENSG00000145901,25.98559,43.13459,67.29685,115.30939,133.04767
ENSG00000145907,48.15682,32.38067,28.70207,13.72125,10.21755
ENSG00000145912,28.750003,9.192429,5.822161,4.905602,0.362758
ENSG00000145996,9.436241,6.222236,4.804319,2.670286,1.387816
ENSG00000146094,42.26921,46.8591,77.00137,96.40837,158.10839
ENSG00000146112,16.79501,59.9844,88.52219,148.72032,193.38394
ENSG00000146143,14.668092,5.696929,2.950582,3.440077,1.446937
ENSG00000146223,23.613537,15.05914,12.281898,5.998774,3.829068
ENSG00000146247,23.21789,24.47001,24.79316,36.39123,41.86101
ENSG00000146281,6.411593,1.603111,1.083223,2.084562,1.779294
ENSG00000146376,4.03174,5.764589,8.232359,6.858321,2.114464
ENSG00000146386,41.77842,29.52518,16.93579,14.71283,10.7396
ENSG00000146425,8.275398,39.292911,95.776104,119.081428,84.740953
ENSG00000146457,56.29285,117.81066,113.58284,109.12354,138.32369
ENSG00000146476,3.455834,8.285736,14.102023,13.399079,13.00557
ENSG00000146701,24.527561,19.405431,15.960273,10.439844,9.346818
ENSG00000146729,13.328339,11.30279,11.282253,8.565452,5.942511
ENSG00000146731,44.84533,18.82217,13.377671,8.873957,5.619805
ENSG00000146918,26.6387839,15.7026302,4.7389522,3.6985095,0.9876374
ENSG00000146955,0.1632517,10.1874776,14.7671524,5.2207494,0.4366039
